Epoch,accuracy,loss,val_accuracy,val_loss
0,0.8904749989509583,0.2561786651611328,0.9311800003051758,0.17340593039989471
1,0.9395050048828125,0.15629659593105316,0.9394100069999695,0.15742200314998628
2,0.9503649950027466,0.13073330223560334,0.9497899889945984,0.132883283495903
3,0.9574699997901917,0.11418770402669906,0.9520600080490113,0.12764221131801606
4,0.9620450019836426,0.10275695025920868,0.9550299882888794,0.12181009650230408
5,0.9657299876213074,0.09322888404130936,0.9554399967193603,0.12025883048772812
6,0.9688624978065491,0.0853481262922287,0.9594799995422363,0.1127205342054367
7,0.9715049982070922,0.07877839505672454,0.9607699990272522,0.10975971221923828
8,0.9732399940490722,0.07324050217866898,0.9602299928665161,0.11582177430391312
9,0.9753250002861023,0.06737240850925445,0.9592900037765503,0.11860992759466171
