Epoch,accuracy,loss,val_accuracy,val_loss
0,0.6073675036430359,0.6096532464027404,0.8238399982452392,0.39194299578666686
1,0.8792999982833862,0.2953652262687683,0.909060001373291,0.2219799518585205
2,0.9169574975967407,0.20946315824985504,0.9238100171089172,0.19170351922512055
3,0.9286700010299682,0.18278345465660095,0.9329900026321412,0.17151279747486115
4,0.9361224889755249,0.16560769081115723,0.9382300019264221,0.15884105265140533
5,0.9415449976921082,0.15208919942378998,0.9412799954414368,0.1496413230895996
6,0.9460474967956543,0.14094162881374359,0.9450199961662292,0.14177248477935792
7,0.9501524925231933,0.13132648020982743,0.9460700035095215,0.13777595460414888
8,0.9531700015068054,0.12383620142936706,0.9475299954414368,0.13803543150424957
9,0.9564825057983398,0.1164499506354332,0.9505099892616272,0.13011784702539445
