Epoch,accuracy,loss,val_accuracy,val_loss
0,0.6221500039100647,0.6075456738471985,0.8402799963951111,0.3798101007938385
1,0.8661875009536744,0.3285221874713898,0.888159990310669,0.26890833079814913
2,0.8995625019073487,0.24867517054080962,0.910670006275177,0.22065288722515106
3,0.9161025166511536,0.21305473744869233,0.9204899907112122,0.19750481843948364
4,0.9234950065612793,0.19514631927013398,0.9258700013160706,0.1850292831659317
5,0.9289225101470947,0.18270908296108246,0.9312600016593933,0.17464527785778045
6,0.9337899923324585,0.17192205488681794,0.9346199989318847,0.16483741104602814
7,0.9380675077438354,0.1625218003988266,0.9388499975204467,0.1572872817516327
8,0.9415925025939942,0.15392182767391205,0.9398399949073791,0.15564282536506652
9,0.9442749977111816,0.14732443690299987,0.9438799977302551,0.1475256323814392
