Epoch,accuracy,loss,val_accuracy,val_loss
0,0.5612974882125854,0.6520330905914307,0.7478999853134155,0.47452940344810485
1,0.8148774981498719,0.3658833146095276,0.8964200019836426,0.24835209250450135
2,0.9088024973869324,0.23008305728435516,0.9158100008964538,0.20641309916973113
3,0.921619999408722,0.20030833184719085,0.9255400061607361,0.1901540696620941
4,0.930525004863739,0.1794562131166458,0.9345499873161316,0.16413008272647858
5,0.9375699996948242,0.16280765533447267,0.9390200018882752,0.15589937567710876
6,0.9426349997520447,0.15024424195289612,0.9428200006484986,0.14701362252235411
7,0.9468724966049195,0.1408372700214386,0.945360004901886,0.14101121425628663
8,0.9505749940872192,0.13122714906930924,0.9488799929618835,0.13456133008003235
9,0.9538900017738342,0.12360711693763733,0.9491900086402894,0.13382851481437683
