Epoch,accuracy,loss,val_accuracy,val_loss
0,0.6298975110054016,0.5886610388755799,0.8479999899864197,0.35659584403038025
1,0.8791275024414062,0.29209463596343993,0.897220003604889,0.2483398824930191
2,0.9081650018692017,0.228215953707695,0.9154500007629395,0.2088288426399231
3,0.9193999886512756,0.20242257416248322,0.9233400106430054,0.19393587112426758
4,0.9265200018882751,0.1860869824886322,0.9272499918937683,0.18183113038539886
5,0.932022500038147,0.17339510321617127,0.9315400004386902,0.17114484012126924
6,0.9366775035858155,0.16411209106445312,0.9363900065422058,0.16101863980293274
7,0.9398424983024597,0.15569655299186708,0.938889992237091,0.15609933733940123
8,0.94322749376297,0.14811524450778962,0.9410400032997132,0.1516428232192993
9,0.945787501335144,0.141562619805336,0.9439299941062927,0.14546841979026795
