Epoch,accuracy,loss,val_accuracy,val_loss
0,0.5370625019073486,0.6745761156082153,0.5565900087356568,0.6666180253028869
1,0.6548300147056579,0.5811600625514984,0.7370800018310547,0.4902568101882935
2,0.7893849968910217,0.41818681359291077,0.8687199950218201,0.3009589284658432
3,0.8902799963951111,0.2629726827144623,0.9052100062370301,0.2303861051797867
4,0.9119925022125244,0.21929816901683807,0.9174900054931641,0.20312624871730806
5,0.9217274904251098,0.19700283408164979,0.9241900086402893,0.1898769497871399
6,0.9299125075340271,0.18064999282360078,0.9303199887275696,0.1742875248193741
7,0.9355674982070923,0.16702663898468018,0.9360499978065491,0.16325923502445222
8,0.9406149864196778,0.154908886551857,0.9375699996948242,0.1587256222963333
9,0.9439924955368042,0.14627749919891359,0.9422799944877625,0.15011969804763795
