Epoch,accuracy,loss,val_accuracy,val_loss
0,0.8798224925994873,0.2893049895763397,0.9222000002861023,0.19730348885059357
1,0.9290750026702881,0.1852790355682373,0.9356200098991394,0.16567692756652833
2,0.9385800004005432,0.16164303719997405,0.9384199976921082,0.15860260725021363
3,0.9440124988555908,0.14878415763378144,0.9411599993705749,0.15229029953479767
4,0.9475499868392945,0.13941400349140168,0.9434799909591675,0.14663687646389006
5,0.9501925110816956,0.13309281170368195,0.942110002040863,0.149427530169487
6,0.9519850015640259,0.1279446542263031,0.9451300024986267,0.14422325789928436
7,0.9540549993515015,0.12334549725055695,0.9463199973106384,0.1423624187707901
8,0.9556575059890747,0.1195176973938942,0.9471199989318848,0.14157304167747498
9,0.9567224979400635,0.11635562628507615,0.9471999883651734,0.14145101308822633
