Model,Accuracy,Accuracy_Std,F1_Score,F1_Std,Precision,Precision_Std,Recall,Recall_Std
CNN,0.95461,0.007107418659400912,0.9549400600621235,0.0062490539113537824,0.9505513206984215,0.020484850648066696,0.9598600000000002,0.01029341537100296
LSTM,0.95258,0.0009426558226627502,0.9524258304143911,0.001011772966064134,0.9555386398298344,0.004476077702985861,0.94938,0.005176253471382574
GRU,0.9533600000000002,0.0023410254163507035,0.9526322646005745,0.0024337045980372734,0.9676768682401985,0.0024583804230560056,0.9380599999999999,0.004102487050558494
CNN-BiLSTM,0.9621700000000001,0.0021841703230288567,0.9618945180165867,0.002288953632884016,0.9688581660122633,0.004431583731281729,0.95508,0.006213340486405065
